Entry	Entry Name	Length	Cofactor	Catalytic activity	Binding site	Annotation	EC number	Protein existence	Gene Names (ordered locus)	Gene Names (primary)
P36006	MYO3_YEAST	1272			BINDING 129..136; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00782"	5.0		Evidence at protein level	YKL129C	MYO3
P36007	LTHAD_YEAST	326	COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000269|PubMed:12951240}; COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:12951240}; Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:12951240}; Name=Ca(2+); Xref=ChEBI:CHEBI:29108; Evidence={ECO:0000269|PubMed:12951240}; Note=Requires a divalent metal cation such as Mn(2+), Mg(2+), or Ca(2+). {ECO:0000269|PubMed:12951240};	CATALYTIC ACTIVITY: Reaction=(3S)-3-hydroxy-L-aspartate = NH4(+) + oxaloacetate; Xref=Rhea:RHEA:12424, ChEBI:CHEBI:16452, ChEBI:CHEBI:28938, ChEBI:CHEBI:57251; EC=4.3.1.16; Evidence={ECO:0000269|PubMed:12951240};	BINDING 80; /ligand="pyridoxal 5'-phosphate"; /ligand_id="ChEBI:CHEBI:597326"; /evidence="ECO:0000250|UniProtKB:P04968"; BINDING 179..183; /ligand="pyridoxal 5'-phosphate"; /ligand_id="ChEBI:CHEBI:597326"; /evidence="ECO:0000250|UniProtKB:P04968"; BINDING 304; /ligand="pyridoxal 5'-phosphate"; /ligand_id="ChEBI:CHEBI:597326"; /evidence="ECO:0000250|UniProtKB:P04968"	5.0	4.3.1.16	Evidence at protein level	YKL218C	SRY1
P36009	DHR2_YEAST	735		CATALYTIC ACTIVITY: Reaction=ATP + H2O = ADP + H(+) + phosphate; Xref=Rhea:RHEA:13065, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; EC=3.6.4.13;	BINDING 104..111; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00541"	5.0	3.6.4.13	Evidence at protein level	YKL078W	DHR2
P36010	NDK_YEAST	153	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:5793714};	CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-diphosphate + ATP = a 2'-deoxyribonucleoside 5'-triphosphate + ADP; Xref=Rhea:RHEA:44640, ChEBI:CHEBI:30616, ChEBI:CHEBI:61560, ChEBI:CHEBI:73316, ChEBI:CHEBI:456216; EC=2.7.4.6; Evidence={ECO:0000269|PubMed:1659321, ECO:0000269|PubMed:16957983, ECO:0000269|PubMed:5793714}; CATALYTIC ACTIVITY: Reaction=a ribonucleoside 5'-diphosphate + ATP = a ribonucleoside 5'-triphosphate + ADP; Xref=Rhea:RHEA:18113, ChEBI:CHEBI:30616, ChEBI:CHEBI:57930, ChEBI:CHEBI:61557, ChEBI:CHEBI:456216; EC=2.7.4.6; Evidence={ECO:0000269|PubMed:1659321, ECO:0000269|PubMed:16957983, ECO:0000269|PubMed:5793714};	BINDING 13; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000250|UniProtKB:P22392"; BINDING 61; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000250|UniProtKB:P22392"; BINDING 89; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000250|UniProtKB:P22392"; BINDING 95; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000250|UniProtKB:P22392"; BINDING 106; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000250|UniProtKB:P22392"; BINDING 116; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000250|UniProtKB:P22392"	5.0	2.7.4.6	Evidence at protein level	YKL067W	YNK1
P36012	CENPA_YEAST	229				5.0		Evidence at protein level	YKL049C	CSE4
P36013	MAOM_YEAST	669	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; Note=Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};	CATALYTIC ACTIVITY: Reaction=(S)-malate + NAD(+) = CO2 + NADH + pyruvate; Xref=Rhea:RHEA:12653, ChEBI:CHEBI:15361, ChEBI:CHEBI:15589, ChEBI:CHEBI:16526, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.1.1.38; CATALYTIC ACTIVITY: Reaction=H(+) + oxaloacetate = CO2 + pyruvate; Xref=Rhea:RHEA:15641, ChEBI:CHEBI:15361, ChEBI:CHEBI:15378, ChEBI:CHEBI:16452, ChEBI:CHEBI:16526; EC=1.1.1.38;	BINDING 330; /ligand="a divalent metal cation"; /ligand_id="ChEBI:CHEBI:60240"; /evidence="ECO:0000250"; BINDING 331; /ligand="a divalent metal cation"; /ligand_id="ChEBI:CHEBI:60240"; /evidence="ECO:0000250"; BINDING 354; /ligand="a divalent metal cation"; /ligand_id="ChEBI:CHEBI:60240"; /evidence="ECO:0000250"; BINDING 354; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"; BINDING 499; /ligand="NAD(+)"; /ligand_id="ChEBI:CHEBI:57540"; /evidence="ECO:0000250"	5.0	1.1.1.38	Evidence at protein level	YKL029C	MAE1
P36014	GPX1_YEAST	167		CATALYTIC ACTIVITY: Reaction=2 glutathione + H2O2 = glutathione disulfide + 2 H2O; Xref=Rhea:RHEA:16833, ChEBI:CHEBI:15377, ChEBI:CHEBI:16240, ChEBI:CHEBI:57925, ChEBI:CHEBI:58297; EC=1.11.1.9; Evidence={ECO:0000269|PubMed:20572871, ECO:0000269|PubMed:22659048}; CATALYTIC ACTIVITY: Reaction=[thioredoxin]-dithiol + a hydroperoxide = [thioredoxin]-disulfide + an alcohol + H2O; Xref=Rhea:RHEA:62620, Rhea:RHEA-COMP:10698, Rhea:RHEA-COMP:10700, ChEBI:CHEBI:15377, ChEBI:CHEBI:29950, ChEBI:CHEBI:30879, ChEBI:CHEBI:35924, ChEBI:CHEBI:50058; EC=1.11.1.24; Evidence={ECO:0000269|PubMed:20572871, ECO:0000269|PubMed:22659048};		5.0	1.11.1.24; 1.11.1.9	Evidence at protein level	YKL026C	GPX1
P36015	YKT6_YEAST	200				5.0	2.3.1.-	Evidence at protein level	YKL196C	YKT6
P36016	LHS1_YEAST	881		CATALYTIC ACTIVITY: Reaction=ATP + H2O = ADP + H(+) + phosphate; Xref=Rhea:RHEA:13065, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:456216;		5.0	3.6.1.-	Evidence at protein level	YKL073W	LHS1
P36017	VPS21_YEAST	210			BINDING 14..21; /ligand="GTP"; /ligand_id="ChEBI:CHEBI:37565"; BINDING 62..66; /ligand="GTP"; /ligand_id="ChEBI:CHEBI:37565"; BINDING 120..123; /ligand="GTP"; /ligand_id="ChEBI:CHEBI:37565"	5.0		Evidence at protein level	YOR089C	VPS21
P36018	YPT52_YEAST	234			BINDING 10..17; /ligand="GTP"; /ligand_id="ChEBI:CHEBI:37565"; /evidence="ECO:0000250"; BINDING 66..70; /ligand="GTP"; /ligand_id="ChEBI:CHEBI:37565"; /evidence="ECO:0000250"; BINDING 111..114; /ligand="GTP"; /ligand_id="ChEBI:CHEBI:37565"; /evidence="ECO:0000250"	5.0		Evidence at protein level	YKR014C	YPT52
P36022	DYHC_YEAST	4092			BINDING 1796..1803; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255"; BINDING 2074..2081; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255"; BINDING 2418..2425; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255"; BINDING 2760..2767; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255"	5.0		Evidence at protein level	YKR054C	DYN1
P36024	SIS2_YEAST	562				5.0		Evidence at protein level	YKR072C	SIS2
P36027	MID2_YEAST	376				5.0		Evidence at protein level	YLR332W	MID2
P36033	FRE2_YEAST	711	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000305}; COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250};	CATALYTIC ACTIVITY: Reaction=2 a Fe(II)-siderophore + H(+) + NADP(+) = 2 a Fe(III)-siderophore + NADPH; Xref=Rhea:RHEA:28795, Rhea:RHEA-COMP:11342, Rhea:RHEA-COMP:11344, ChEBI:CHEBI:15378, ChEBI:CHEBI:29033, ChEBI:CHEBI:29034, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.16.1.9;	BINDING 316; /ligand="heme"; /ligand_id="ChEBI:CHEBI:30413"; /ligand_label="1"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000250"; BINDING 330; /ligand="heme"; /ligand_id="ChEBI:CHEBI:30413"; /ligand_label="2"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000250"; BINDING 386; /ligand="heme"; /ligand_id="ChEBI:CHEBI:30413"; /ligand_label="1"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000250"; BINDING 400; /ligand="heme"; /ligand_id="ChEBI:CHEBI:30413"; /ligand_label="2"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000250"; BINDING 479..485; /ligand="FAD"; /ligand_id="ChEBI:CHEBI:57692"; /evidence="ECO:0000255"; BINDING 526..529; /ligand="NADP(+)"; /ligand_id="ChEBI:CHEBI:58349"; /evidence="ECO:0000255"; BINDING 677..678; /ligand="NADP(+)"; /ligand_id="ChEBI:CHEBI:58349"; /evidence="ECO:0000255"	5.0	1.16.1.9	Evidence at protein level	YKL220C	FRE2
P36035	JEN1_YEAST	616				5.0		Evidence at protein level	YKL217W	JEN1
P36037	DOA1_YEAST	715				5.0		Evidence at protein level	YKL213C	DOA1
P36041	EAP1_YEAST	632			BINDING 440..447; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255"	5.0		Evidence at protein level	YKL204W	EAP1
P36046	MIA40_YEAST	403	COFACTOR: Name=Cu(2+); Xref=ChEBI:CHEBI:29036; Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Cu(2+) or Zn(2+).;			5.0		Evidence at protein level	YKL195W	MIA40
P36047	SDS22_YEAST	338				5.0		Evidence at protein level	YKL193C	SDS22
P36048	SN114_YEAST	1008			BINDING 140..147; /ligand="GTP"; /ligand_id="ChEBI:CHEBI:37565"; /evidence="ECO:0000250"; BINDING 214..218; /ligand="GTP"; /ligand_id="ChEBI:CHEBI:37565"; /evidence="ECO:0000250"; BINDING 268..271; /ligand="GTP"; /ligand_id="ChEBI:CHEBI:37565"; /evidence="ECO:0000250"	5.0		Evidence at protein level	YKL173W	SNU114
P36049	EBP2_YEAST	427				5.0		Evidence at protein level	YKL172W	EBP2
P36051	MCD4_YEAST	919				5.0	2.-.-.-	Evidence at protein level	YKL165C	MCD4
P36057	SRPB_YEAST	244			BINDING 45..53; /ligand="GTP"; /ligand_id="ChEBI:CHEBI:37565"; /evidence="ECO:0000269|PubMed:12654246"; BINDING 66..69; /ligand="GTP"; /ligand_id="ChEBI:CHEBI:37565"; /evidence="ECO:0000269|PubMed:12654246"; BINDING 90; /ligand="GTP"; /ligand_id="ChEBI:CHEBI:37565"; /evidence="ECO:0000269|PubMed:12654246"; BINDING 154..157; /ligand="GTP"; /ligand_id="ChEBI:CHEBI:37565"; /evidence="ECO:0000269|PubMed:12654246"	5.0		Evidence at protein level	YKL154W	SRP102
P36060	MCR1_YEAST	302	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000250|UniProtKB:P38038};	CATALYTIC ACTIVITY: Reaction=2 Fe(III)-[cytochrome b5] + NADH = 2 Fe(II)-[cytochrome b5] + H(+) + NAD(+); Xref=Rhea:RHEA:46680, Rhea:RHEA-COMP:10438, Rhea:RHEA-COMP:10439, ChEBI:CHEBI:15378, ChEBI:CHEBI:29033, ChEBI:CHEBI:29034, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.6.2.2; Evidence={ECO:0000305|PubMed:8001120};	BINDING 158..193; /ligand="FAD"; /ligand_id="ChEBI:CHEBI:57692"; /evidence="ECO:0000250|UniProtKB:P38038"	5.0	1.6.2.2	Evidence at protein level	YKL150W	MCR1
P36068	SHE2_YEAST	246				5.0		Evidence at protein level	YKL130C	SHE2
P36076	CAB3_YEAST	571				5.0		Evidence at protein level	YKL088W	CAB3
P36077	SRX1_YEAST	127	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:14586471};	CATALYTIC ACTIVITY: Reaction=[protein]-dithiol + ATP + S-hydroxy-S-oxy-L-cysteinyl-[peroxiredoxin] = [protein]-disulfide + ADP + phosphate + S-hydroxy-L-cysteinyl-[peroxiredoxin]; Xref=Rhea:RHEA:17545, Rhea:RHEA-COMP:10593, Rhea:RHEA-COMP:10594, Rhea:RHEA-COMP:13681, Rhea:RHEA-COMP:17976, ChEBI:CHEBI:29950, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:50058, ChEBI:CHEBI:61973, ChEBI:CHEBI:61974, ChEBI:CHEBI:456216; EC=1.8.98.2; Evidence={ECO:0000269|PubMed:14586471};		5.0	1.8.98.2	Evidence at protein level	YKL086W	SRX1
P36081	PSG1_YEAST	392				5.0		Evidence at protein level	YKL077W	PSG1
P36084	MUD2_YEAST	527				5.0		Evidence at protein level	YKL074C	MUD2
P36088	FRMSR_YEAST	180		CATALYTIC ACTIVITY: Reaction=[thioredoxin]-disulfide + H2O + L-methionine = [thioredoxin]-dithiol + L-methionine (R)-S-oxide; Xref=Rhea:RHEA:21260, Rhea:RHEA-COMP:10698, Rhea:RHEA-COMP:10700, ChEBI:CHEBI:15377, ChEBI:CHEBI:29950, ChEBI:CHEBI:50058, ChEBI:CHEBI:57844, ChEBI:CHEBI:58773; EC=1.8.4.14; Evidence={ECO:0000269|PubMed:19049972};		5.0	1.8.4.14	Evidence at protein level	YKL069W	
P36094	SPC42_YEAST	363				5.0		Evidence at protein level	YKL042W	SPC42
P36095	VPS24_YEAST	224				5.0		Evidence at protein level	YKL041W	VPS24
P36096	TUL1_YEAST	758		CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine + [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.; EC=2.3.2.27;		5.0	2.3.2.27	Evidence at protein level	YKL034W	TUL1
P36100	T2EA_YEAST	482				5.0		Evidence at protein level	YKL028W	TFA1
P36102	PAN3_YEAST	679			BINDING 325; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_03181"; BINDING 376..383; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_03181"; BINDING 430..431; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_03181"	5.0		Evidence at protein level	YKL025C	PAN3
P36104	SWD2_YEAST	329				5.0		Evidence at protein level	YKL018W	SWD2
P36105	RL14A_YEAST	138				5.0		Evidence at protein level	YKL006W	RPL14A
P36107	AUR1_YEAST	401		CATALYTIC ACTIVITY: Reaction=a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol) + an N-(2R-hydroxy-very-long-chain fatty acyl)-(R)-4-hydroxysphingoid base = a 1,2-diacyl-sn-glycerol + a 1D-myo-inositol-1-phospho-N-[(R)-2-hydroxy-very-long-chain fatty acyl]-(R)-4-hydroxysphingoid base; Xref=Rhea:RHEA:64536, ChEBI:CHEBI:17815, ChEBI:CHEBI:57880, ChEBI:CHEBI:155886, ChEBI:CHEBI:155926; EC=2.7.1.227; Evidence={ECO:0000269|PubMed:10888667}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:64537; Evidence={ECO:0000269|PubMed:10888667};		5.0	2.7.1.227	Evidence at protein level	YKL004W	AUR1
P36108	DID4_YEAST	232				5.0		Evidence at protein level	YKL002W	DID4
P36112	MIC60_YEAST	540				5.0		Evidence at protein level	YKR016W	MIC60
P36113	HEL1_YEAST	551		CATALYTIC ACTIVITY: Reaction=[E2 ubiquitin-conjugating enzyme]-S-ubiquitinyl-L-cysteine + [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-cysteine + [acceptor protein]-N(6)-ubiquitinyl-L-lysine.; EC=2.3.2.31; Evidence={ECO:0000250|UniProtKB:O60260};	BINDING 179; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01221"; BINDING 182; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01221"; BINDING 200; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01221"; BINDING 203; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01221"; BINDING 301; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01221"; BINDING 304; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01221"; BINDING 309; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01221"; BINDING 314; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01221"; BINDING 341; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01221"; BINDING 344; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01221"; BINDING 359; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01221"; BINDING 362; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01221"; BINDING 367; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01221"; BINDING 370; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01221"; BINDING 377; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01221"; BINDING 384; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_label="4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01221"	5.0	2.3.2.31	Evidence at protein level	YKR017C	HEL1
P36115	IRS4_YEAST	615				5.0		Evidence at protein level	YKR019C	IRS4
P36116	VPS51_YEAST	164				5.0		Evidence at protein level	YKR020W	VPS51
P36117	ALY1_YEAST	915				5.0		Evidence at protein level	YKR021W	ALY1
P36122	BCH2_YEAST	765				5.0		Evidence at protein level	YKR027W	BCH2
P36123	SA190_YEAST	1033				5.0		Evidence at protein level	YKR028W	SAP190
P36124	SET3_YEAST	751				5.0		Evidence at protein level	YKR029C	SET3
P36126	SPO14_YEAST	1683		CATALYTIC ACTIVITY: Reaction=a 1,2-diacyl-sn-glycero-3-phosphocholine + H2O = a 1,2-diacyl-sn-glycero-3-phosphate + choline + H(+); Xref=Rhea:RHEA:14445, ChEBI:CHEBI:15354, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:57643, ChEBI:CHEBI:58608; EC=3.1.4.4;		5.0	3.1.4.4	Evidence at protein level	YKR031C	SPO14
P36130	CAF4_YEAST	643				5.0		Evidence at protein level	YKR036C	CAF4
P36131	SPC34_YEAST	295				5.0		Evidence at protein level	YKR037C	SPC34
P36132	KAE1_YEAST	386	COFACTOR: Name=a divalent metal cation; Xref=ChEBI:CHEBI:60240; Evidence={ECO:0000255|HAMAP-Rule:MF_03180}; Note=Binds 1 divalent metal cation per subunit. {ECO:0000255|HAMAP-Rule:MF_03180};	CATALYTIC ACTIVITY: Reaction=adenosine(37) in tRNA + L-threonylcarbamoyladenylate = AMP + H(+) + N(6)-L-threonylcarbamoyladenosine(37) in tRNA; Xref=Rhea:RHEA:37059, Rhea:RHEA-COMP:10162, Rhea:RHEA-COMP:10163, ChEBI:CHEBI:15378, ChEBI:CHEBI:73682, ChEBI:CHEBI:74411, ChEBI:CHEBI:74418, ChEBI:CHEBI:456215; EC=2.3.1.234; Evidence={ECO:0000255|HAMAP-Rule:MF_03180};	BINDING 141; /ligand="a divalent metal cation"; /ligand_id="ChEBI:CHEBI:60240"; /evidence="ECO:0000255|HAMAP-Rule:MF_03180"; BINDING 145; /ligand="a divalent metal cation"; /ligand_id="ChEBI:CHEBI:60240"; /evidence="ECO:0000255|HAMAP-Rule:MF_03180"; BINDING 162..166; /ligand="substrate"; /evidence="ECO:0000255|HAMAP-Rule:MF_03180"; BINDING 162; /ligand="a divalent metal cation"; /ligand_id="ChEBI:CHEBI:60240"; /evidence="ECO:0000255|HAMAP-Rule:MF_03180"; BINDING 194; /ligand="substrate"; /evidence="ECO:0000255|HAMAP-Rule:MF_03180"; BINDING 209; /ligand="substrate"; /evidence="ECO:0000255|HAMAP-Rule:MF_03180"; BINDING 213; /ligand="substrate"; /evidence="ECO:0000255|HAMAP-Rule:MF_03180"; BINDING 315; /ligand="substrate"; /evidence="ECO:0000255|HAMAP-Rule:MF_03180"; BINDING 344; /ligand="a divalent metal cation"; /ligand_id="ChEBI:CHEBI:60240"; /evidence="ECO:0000255|HAMAP-Rule:MF_03180"	5.0	2.3.1.234	Evidence at protein level	YKR038C	KAE1
P36135	UTH1_YEAST	365				5.0	3.2.1.-	Evidence at protein level	YKR042W	UTH1
P36136	SHB17_YEAST	271		CATALYTIC ACTIVITY: Reaction=D-sedoheptulose 1,7-bisphosphate + H2O = D-sedoheptulose 7-phosphate + phosphate; Xref=Rhea:RHEA:17461, ChEBI:CHEBI:15377, ChEBI:CHEBI:43474, ChEBI:CHEBI:57483, ChEBI:CHEBI:58335; EC=3.1.3.37; Evidence={ECO:0000269|PubMed:20427268, ECO:0000269|PubMed:21663798};	BINDING 12; /ligand="substrate"; /evidence="ECO:0000269|PubMed:20427268"; BINDING 24..25; /ligand="substrate"; /evidence="ECO:0000269|PubMed:20427268"; BINDING 69; /ligand="substrate"; /evidence="ECO:0000269|PubMed:20427268"; BINDING 99..102; /ligand="substrate"; /evidence="ECO:0000269|PubMed:20427268"; BINDING 181; /ligand="substrate"; /evidence="ECO:0000269|PubMed:20427268"; BINDING 244; /ligand="substrate"; /evidence="ECO:0000269|PubMed:20427268"	5.0	3.1.3.37	Evidence at protein level	YKR043C	SHB17
P36143	GLG1_YEAST	616	COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:P46976};	CATALYTIC ACTIVITY: Reaction=L-tyrosyl-[glycogenin] + UDP-alpha-D-glucose = alpha-D-glucosyl-L-tyrosyl-[glycogenin] + H(+) + UDP; Xref=Rhea:RHEA:23360, Rhea:RHEA-COMP:14604, Rhea:RHEA-COMP:14605, ChEBI:CHEBI:15378, ChEBI:CHEBI:46858, ChEBI:CHEBI:58223, ChEBI:CHEBI:58885, ChEBI:CHEBI:140573; EC=2.4.1.186; Evidence={ECO:0000269|PubMed:8524228}; CATALYTIC ACTIVITY: Reaction=[1,4-alpha-D-glucosyl](n)-L-tyrosyl-[glycogenin] + UDP-alpha-D-glucose = [1,4-alpha-D-glucosyl](n+1)-L-tyrosyl-[glycogenin] + H(+) + UDP; Xref=Rhea:RHEA:56560, Rhea:RHEA-COMP:14606, Rhea:RHEA-COMP:14607, ChEBI:CHEBI:15378, ChEBI:CHEBI:58223, ChEBI:CHEBI:58885, ChEBI:CHEBI:140574; EC=2.4.1.186; Evidence={ECO:0000269|PubMed:8524228};	BINDING 10..16; /ligand="substrate"; /evidence="ECO:0000250|UniProtKB:P46976"; BINDING 95; /ligand="substrate"; /evidence="ECO:0000250|UniProtKB:P46976"; BINDING 120..122; /ligand="substrate"; /evidence="ECO:0000250|UniProtKB:P46976"; BINDING 120; /ligand="Mn(2+)"; /ligand_id="ChEBI:CHEBI:29035"; /evidence="ECO:0000250|UniProtKB:P46976"; BINDING 122; /ligand="Mn(2+)"; /ligand_id="ChEBI:CHEBI:29035"; /evidence="ECO:0000250|UniProtKB:P46976"; BINDING 158..160; /ligand="substrate"; /evidence="ECO:0000250|UniProtKB:P46976"; BINDING 185..189; /ligand="substrate"; /evidence="ECO:0000250|UniProtKB:P46976"; BINDING 247..253; /ligand="substrate"; /evidence="ECO:0000250|UniProtKB:P46976"; BINDING 247; /ligand="Mn(2+)"; /ligand_id="ChEBI:CHEBI:29035"; /evidence="ECO:0000250|UniProtKB:P46976"	5.0	2.4.1.186	Evidence at protein level	YKR058W	GLG1
P36146	LAS1_YEAST	502				5.0		Evidence at protein level	YKR063C	LAS1
